Wavelength[Angstrom];Normalized Flux[Counts]
5994.00;0.993002
5996.00;0.988829
5998.00;0.982043
6000.00;0.980117
6002.00;0.987408
6004.00;0.979108
6006.00;0.961224
6008.00;0.943937
6010.00;0.941736
6012.00;0.954804
6014.00;0.961224
6016.00;0.963013
6018.00;0.973330
6020.00;1.013041
6022.00;1.044406
6024.00;1.039408
6026.00;1.014600
6028.00;1.006438
6030.00;0.992406
6032.00;0.967507
6034.00;0.969203
6036.00;0.970304
6038.00;0.959528
6040.00;0.921743
6042.00;0.913030
6044.00;0.938342
6046.00;0.957326
6048.00;0.963425
6050.00;0.980025
6052.00;0.998321
6054.00;1.016618
6056.00;1.024322
6058.00;1.026018
6060.00;1.023542
6062.00;1.010519
6064.00;1.018911
6066.00;1.023404
6068.00;1.012307
6070.00;0.992544
6072.00;0.985023
6074.00;0.979521
6076.00;0.953108
6078.00;0.932106
6080.00;0.939901
6082.00;0.964939
6084.00;0.984840
6086.00;0.998642
6088.00;0.999926
6090.00;0.995112
6092.00;0.984611
6094.00;0.981813
6096.00;0.987820
6098.00;0.989105
6100.00;0.987729
6102.00;0.994745
6104.00;0.999101
6106.00;0.989609
6108.00;0.968745
6110.00;0.950036
6112.00;0.948110
6114.00;0.952328
6116.00;0.954300
6118.00;0.954300
6120.00;0.951732
6122.00;0.951824
6124.00;0.961224
6126.00;0.968011
6128.00;0.963700
6130.00;0.949439
6132.00;0.936829
6134.00;0.943111
6136.00;0.960812
6138.00;0.966635
6140.00;0.969616
6142.00;0.975806
6144.00;0.990022
6146.00;0.987729
6148.00;0.960124
6150.00;0.931601
6152.00;0.920321
6154.00;0.925411
6156.00;0.939443
6158.00;0.953704
6160.00;0.963930
6162.00;0.967736
6164.00;0.963700
6166.00;0.958427
6168.00;0.960445
6170.00;0.967827
6172.00;0.977136
6174.00;0.986903
6176.00;0.986720
6178.00;0.976127
6180.00;0.958519
6182.00;0.949531
6184.00;0.944120
6186.00;0.928025
6188.00;0.902116
6190.00;0.883407
6192.00;0.874144
6194.00;0.868734
6196.00;0.868504
6198.00;0.865845
6200.00;0.874236
6202.00;0.899227
6204.00;0.923210
6206.00;0.933711
6208.00;0.926236
6210.00;0.933711
6212.00;0.943616
6214.00;0.935820
6216.00;0.915415
6218.00;0.914910
6220.00;0.933344
6222.00;0.952924
6224.00;0.948339
6226.00;0.913305
6228.00;0.822740
6230.00;0.718923
6232.00;0.711128
6234.00;0.826638
6236.00;0.970120
6238.00;1.015609
6240.00;1.003136
6242.00;0.977916
6244.00;0.962141
6246.00;0.928346
6248.00;0.894046
6250.00;0.847915
6252.00;0.806507
6254.00;0.826821
6256.00;0.921009
6258.00;1.011436
6260.00;1.008135
6262.00;0.960124
6264.00;0.936737
6266.00;0.951319
6268.00;0.943937
6270.00;0.909820
6272.00;0.870934
6274.00;0.848924
6276.00;0.830903
6278.00;0.800042
6280.00;0.763128
6282.00;0.751435
6284.00;0.803114
6286.00;0.864606
6288.00;0.908720
6290.00;0.907619
6292.00;0.906427
6294.00;0.905235
6296.00;0.904134
6298.00;0.902942
6300.00;0.901841
6302.00;0.900603
6304.00;0.899503
6306.00;0.898310
6308.00;0.897210
6310.00;0.896018
6312.00;0.864010
6314.00;0.823520
6316.00;0.803802
6318.00;0.836634
6320.00;0.870843
6322.00;0.871118
6324.00;0.862314
6326.00;0.902346
6328.00;0.995203
6330.00;1.069306
6332.00;1.070819
6334.00;1.010840
6336.00;0.948339
6338.00;0.916928
6340.00;0.902713
6342.00;0.884141
6344.00;0.869238
6346.00;0.863231
6348.00;0.859425
6350.00;0.831636
6352.00;0.821227
6354.00;0.822236
6356.00;0.843605
6358.00;0.843605
6360.00;0.843605
6362.00;0.843605
6364.00;0.843605
6366.00;0.843605
6368.00;0.843605
6370.00;0.843605
6372.00;0.849245
6374.00;0.871714
6376.00;0.899503
6378.00;0.907802
6380.00;0.900236
6382.00;0.886204
6384.00;0.887122
6386.00;0.899732
6388.00;0.924402
6390.00;0.948110
6392.00;0.946000
6394.00;0.915506
6396.00;0.886938
6398.00;0.888222
6400.00;0.920229
6402.00;0.944945
6404.00;0.940039
6406.00;0.915231
6408.00;0.900145
6410.00;0.902346
6412.00;0.905143
6414.00;0.898907
6416.00;0.903309
6418.00;0.913718
6420.00;0.921330
6422.00;0.913213
