#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 6749.0721     9.777194e-01
 6753.1163     9.669048e-01
 6757.1605     1.009539e+00
 6761.2046     1.009770e+00
 6765.2488     9.822102e-01
 6769.2930     9.672838e-01
 6773.3372     9.935927e-01
 6777.3814     9.497920e-01
 6781.4255     9.666151e-01
 6785.4697     1.042417e+00
 6789.5139     1.053608e+00
 6793.5581     1.003659e+00
 6797.6022     1.077827e+00
 6801.6464     1.069439e+00
 6805.6906     8.824199e-01
 6809.7348     8.382684e-01
 6813.7790     9.152521e-01
 6817.8231     9.499018e-01
 6821.8673     9.078399e-01
 6825.9115     9.283475e-01
 6829.9557     8.939147e-01
 6833.9998     8.607617e-01
 6838.0440     7.498931e-01
 6842.0882     7.731744e-01
 6846.1324     8.217213e-01
 6850.1766     7.874436e-01
 6854.2207     8.455662e-01
 6858.2649     9.105072e-01
 6862.3091     8.973141e-01
 6866.3533     8.732063e-01
 6870.3974     8.217698e-01
 6874.4416     9.202185e-01
 6878.4858     9.924555e-01
 6882.5300     9.075112e-01
 6886.5742     8.837817e-01
 6890.6183     9.167019e-01
 6894.6625     9.128568e-01
 6898.7067     8.856555e-01
 6902.7509     9.292661e-01
 6906.7951     9.230319e-01
 6910.8392     8.606174e-01
 6914.8834     9.641495e-01
 6918.9276     9.149106e-01
 6922.9718     9.115090e-01
 6927.0159     9.468182e-01
 6931.0601     9.563814e-01
 6935.1043     9.435033e-01
 6939.1485     9.750571e-01
 6943.1927     9.873374e-01
 6947.2368     9.214550e-01
 6951.2810     8.910065e-01
 6955.3252     9.351594e-01
 6959.3694     9.659297e-01
 6963.4135     9.591476e-01
 6967.4577     1.031577e+00
 6971.5019     9.534432e-01
 6975.5461     9.212370e-01
 6979.5903     9.059366e-01
 6983.6344     9.129527e-01
 6987.6786     9.413111e-01
 6991.7228     9.544400e-01
 6995.7670     9.671550e-01
 6999.8111     9.976135e-01
 7003.8553     1.022857e+00
 7007.8995     1.030524e+00
 7011.9437     9.196810e-01
 7015.9879     9.181846e-01
 7020.0320     1.011842e+00
 7024.0762     9.726462e-01
 7028.1204     9.707906e-01
 7032.1646     9.758955e-01
 7036.2087     9.869592e-01
 7040.2529     9.984221e-01
 7044.2971     9.941920e-01
 7048.3413     9.950345e-01
 7052.3855     1.010014e+00
